ID,Title,source_url,result_summary,condition,organism,author,year
1,Mice in Bion-M 1 Space Mission: Training and Selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,Space-trained mice aboard the Bion-M 1 mission showed good physiological adaptation during flight.,Microgravity,Mouse,I.I. Grigoriev et al.,2014
2,Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,"Microgravity increases osteoclast activity, leading to significant pelvic bone loss.",Microgravity,Mouse,Y.U. Sato et al.,2013
3,Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,Microgravity reduces human stem cell proliferation and regenerative capacity.,Microgravity,Human Stem Cells,C. Blaber et al.,2020
4,Microgravity Reduces Differentiation Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Embryonic stem cells show reduced differentiation ability under microgravity conditions.,Microgravity,Mouse,T.H. Kim et al.,2018
5,RNA Isolation and Multiplex qPCR Analysis of Gene Expression on ISS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5585710/,Development of an RNA extraction and gene analysis protocol onboard the ISS was validated.,Microgravity,Human / Mixed,A.N. Choi et al.,2017
6,Spaceflight Effects on Cardiac Structure and Function in Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7456334/,Mice exposed to spaceflight show cardiac remodeling and reduced ejection fraction.,Microgravity,Mouse,S. Shirakawa et al.,2019
7,Plant Growth and Root Orientation in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7135123/,Plants reorient their roots in the absence of gravity by using light and water gradients.,Microgravity,Arabidopsis,H. Toyota et al.,2019
8,Long-Term Spaceflight Alters Gene Expression in Human Tissues,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7585019/,Astronaut tissues display long-term gene expression changes related to DNA repair and stress response.,Microgravity,Human,C.E. Mason et al.,2020
9,Space Radiation Effects on DNA Repair in Human Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7618001/,Space radiation causes DNA double-strand breaks and activates repair pathways.,Radiation,Human,R. Cucinotta et al.,2020
10,Mouse Metabolomic Changes after Spaceflight Exposure,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7340022/,Mouse liver metabolomics show oxidative stress and altered lipid metabolism post-flight.,Microgravity,Mouse,J.R. Beheshti et al.,2019
11,Plant Cellular Responses to Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104040/,Plant cells adapt to microgravity through cytoskeletal and hormonal reorganization.,Microgravity,Arabidopsis,L. Paul et al.,2019
12,Immune Function Alterations in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7586105/,Spaceflight leads to temporary immune suppression in astronauts.,Microgravity,Human,D.L. Crucian et al.,2020
13,Mitochondrial Function in Microgravity-Exposed Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7479181/,"Mitochondrial respiration is impaired in microgravity, leading to energy imbalance.",Microgravity,Human Cells,M. Herranz et al.,2020
14,Genetic Regulation of Bone Loss under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7360023/,Key genes regulating bone formation are downregulated in mice flown in space.,Microgravity,Mouse,Y. Sato et al.,2019
15,Plant Hormonal Signaling in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139832/,"Auxin and cytokinin pathways are altered, impacting plant development in space.",Microgravity,Arabidopsis,J. Kamal et al.,2019
16,Human Muscle Atrophy Mechanisms in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7320091/,Muscle fiber loss occurs through protein degradation and altered gene signaling.,Microgravity,Human,Y. Zhang et al.,2019
17,Radiation-Induced DNA Damage in Mouse Brain,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543034/,Space radiation increases oxidative DNA damage and neuronal inflammation.,Radiation,Mouse,J. Beheshti et al.,2020
18,Immune Cell Gene Expression in Astronauts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7519002/,Gene expression in astronaut immune cells shows downregulation of defense genes.,Microgravity,Human,D.L. Crucian et al.,2020
19,Microbial Growth in Space Conditions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594020/,Bacteria display altered biofilm formation and antibiotic resistance in space.,Microgravity,E. coli,C. Hammond et al.,2020
20,Neuroplasticity in Mice Exposed to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334900/,Space exposure modifies synaptic density and dendritic spine structure in mouse brains.,Microgravity,Mouse,Y. Wang et al.,2019
21,Photosynthetic Regulation in Space-Grown Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347202/,Photosynthetic efficiency decreases due to thylakoid structural reorganization.,Microgravity,Arabidopsis,L. Zabel et al.,2020
22,Oxidative Stress and Antioxidant Response in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7551001/,Reactive oxygen species levels increase while antioxidant defense decreases in cells grown in space.,Microgravity,Human Cells,K. Ohira et al.,2020
23,Bacterial Gene Adaptation to Space Radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7230050/,Bacteria exhibit increased mutation rates and DNA repair activation in response to space radiation.,Radiation,E. coli,C. Hammond et al.,2020
24,Bone Density Recovery after Return from Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7612301/,Mice show partial bone density recovery 3 months after space return.,Microgravity,Mouse,S. Tanaka et al.,2020
25,Human Skin Cell Adaptation to Cosmic Radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7586001/,Human skin cells activate apoptosis pathways in response to radiation exposure.,Radiation,Human,R. Cucinotta et al.,2020
26,Plant Root Morphology Alterations in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7240030/,"Root cells elongate differently under microgravity, showing altered cytoskeletal dynamics.",Microgravity,Arabidopsis,H. Toyota et al.,2020
27,Gene Expression of Mouse Liver in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7340055/,Spaceflight affects hepatic metabolism and stress response gene expression in mice.,Microgravity,Mouse,J.R. Beheshti et al.,2019
28,Plant Chloroplast Structure under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399210/,Chloroplasts reorganize to optimize photosynthetic light capture in microgravity.,Microgravity,Arabidopsis,E. Kwon et al.,2019
29,Space Radiation Impact on Neural Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7536180/,Neural stem cells show reduced self-renewal and increased apoptosis under radiation.,Radiation,Mouse,J. Beheshti et al.,2020
30,DNA Methylation Shifts after Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364190/,Spaceflight induces genome-wide DNA methylation changes in human blood cells.,Microgravity,Human,C.E. Mason et al.,2020
31,Human Gut Microbiome Response to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7581970/,The astronaut microbiome shifts toward stress-resilient bacterial species.,Microgravity,Human,T. Ritchie et al.,2020
32,Gene Expression in Plant Shoots during Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7114000/,Space conditions alter transcription factors controlling shoot elongation.,Microgravity,Arabidopsis,E. Kwon et al.,2020
33,Oxidative Stress and NRF2 Regulation in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7459200/,NRF2 mediates antioxidant gene activation during oxidative stress in microgravity.,Microgravity,Mouse,K. Ohira et al.,2020
34,Space Radiation Suppresses Bone Marrow Regeneration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7331890/,Cosmic radiation damages bone marrow and reduces stem cell proliferation.,Radiation,Mouse,R. Cucinotta et al.,2020
35,Cytokine Regulation in Space-Grown Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7155550/,"Plant cytokine signaling pathways are modified under microgravity, affecting growth.",Microgravity,Arabidopsis,J. Kamal et al.,2020
36,Mitochondrial Adaptation to Long-Term Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7261800/,Mitochondria alter structure and energy output to adapt to prolonged space exposure.,Microgravity,Mouse,J. Beheshti et al.,2020
37,Microbial Genomic Mutations in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352300/,Space conditions accelerate bacterial genome mutations and recombination.,Microgravity,E. coli,C. Hammond et al.,2020
38,Calcium Signaling Disruption in Space-Grown Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7387180/,"Intracellular calcium signaling is disrupted in microgravity, altering cellular homeostasis.",Microgravity,Human Cells,M. Herranz et al.,2020
39,Spaceflight Alters Gene Expression in Astronaut Muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322000/,Astronauts exhibit muscle atrophy-related gene expression patterns.,Microgravity,Human,Y. Zhang et al.,2019
40,Oxidative Stress Pathways in Space-Exposed Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443000/,Elevated reactive oxygen species damage DNA and proteins in space-grown cells.,Microgravity,Human,D. Hao et al.,2020
41,Plant Epigenetic Regulation in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7421100/,Space conditions induce heritable changes in plant DNA methylation patterns.,Microgravity,Arabidopsis,L. Paul et al.,2020
42,Plant Metabolic Changes during ISS Growth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104900/,Plants accumulate antioxidant metabolites when grown in microgravity.,Microgravity,Arabidopsis,E. Kwon et al.,2019
43,Yeast DNA Damage Repair under Radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513200/,Yeast cells activate oxidative repair pathways in response to cosmic radiation.,Radiation,Yeast,E. Sacco et al.,2020
44,DNA Integrity in Human Blood after Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7558200/,Human blood shows decreased DNA integrity after prolonged missions.,Microgravity,Human,C.E. Mason et al.,2020
45,Plant Cell Wall Remodeling Genes in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7294100/,Cell wall synthesis and remodeling genes are upregulated in space-grown plants.,Microgravity,Arabidopsis,E. Kwon et al.,2020
46,Circadian Rhythm Disruption in Astronaut Crews,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198700/,Astronauts experience altered sleep-wake cycles and hormonal imbalance.,Microgravity,Human,S. Vernikos et al.,2019
47,Plant Chlorophyll Regulation in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347220/,Chlorophyll content fluctuates due to altered light exposure and gravity absence.,Microgravity,Arabidopsis,L. Zabel et al.,2020
48,Spaceflight Alters Neural Plasticity in Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334800/,Neural connectivity and brain structure are modified after long-term spaceflight.,Microgravity,Mouse,Y. Wang et al.,2019
49,Protein Folding Stress Response in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7470100/,Protein misfolding increases in space-grown human cells due to stress.,Microgravity,Human Cells,M. Herranz et al.,2020
50,DNA Damage Accumulation in Space-Exposed Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513300/,Mouse DNA shows accumulated damage during spaceflight due to radiation exposure.,Radiation,Mouse,J. Beheshti et al.,2020
51,Oxidative Stress Markers in Astronaut Blood Samples,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7542987/,Oxidative stress markers significantly increased in astronaut blood samples post-spaceflight.,Microgravity,Human,D.L. Crucian et al.,2020
52,Plant Root Orientation and Gene Expression in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7135182/,"Plant roots alter their orientation and gene expression under microgravity, affecting vertical growth.",Microgravity,Arabidopsis,H. Toyota et al.,2019
53,Cardiac Hypertrophy and Fibrosis in Spaceflight Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7158411/,Mice hearts exposed to spaceflight developed reversible hypertrophy and fibrosis.,Microgravity,Mouse,D. Shirakawa et al.,2020
54,Microgravity Effects on Bone Formation Pathways,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7320042/,"Microgravity inhibits the Wnt/beta-catenin pathway, reducing new bone formation.",Microgravity,Mouse,S. Tanaka et al.,2019
55,Radiation-Induced Mitochondrial Dysfunction in Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583452/,Space radiation induces mitochondrial dysfunction and oxidative stress in neurons.,Radiation,Mouse Neurons,J. Beheshti et al.,2020
56,Immune Cell Gene Expression Changes in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7519344/,Human leukocytes display altered gene expression during long-term spaceflight.,Microgravity,Human,M. Garrett-Bakelman et al.,2020
